MNT-001,V001,2026-06-05,Routine,AutoCare Pros,250.00,Oil change and filter replacement,18000
MNT-002,V002,2026-06-08,Repair,City Mechanics,850.50,Replaced worn brake pads and rotors,9500
MNT-003,V003,2026-06-10,Tires,TireWorld,1200.00,Fitted 4 new all-season tires,90000
MNT-004,V004,2026-06-12,Inspection,Gov Testing Facility,100.00,Annual emissions and safety check,6500
MNT-005,V001,2026-06-15,Repair,AutoCare Pros,420.00,Fixed leaking radiator hose,23000
MNT-006,V006,2026-06-18,Routine,QuickLube,180.00,Standard fluid top-up and oil change,8000
MNT-007,V007,2026-06-20,Repair,Heavy Duty Truck Repair,2100.00,Transmission overhaul,25000
MNT-008,V002,2026-06-21,Routine,City Mechanics,150.00,Wiper blades and cabin air filter,14500
MNT-009,V009,2026-06-22,Inspection,Gov Testing Facility,150.00,Commercial vehicle inspection,220000
MNT-010,V010,2026-06-25,Tires,TireWorld,800.00,Replaced rear dual tires,55000
